TimestampLocal,TimestampLocal.total_count,parkade
2016-06-20 0:00,673,Thunderbird
2016-06-21 0:00,615,Thunderbird
2016-06-22 0:00,698,Thunderbird
2016-06-23 0:00,582,Thunderbird
2016-06-24 0:00,445,Thunderbird
2016-06-25 0:00,128,Thunderbird
2016-06-26 0:00,638,Thunderbird
2016-06-27 0:00,562,Thunderbird
2016-06-28 0:00,906,Thunderbird
2016-06-29 0:00,597,Thunderbird
2016-06-30 0:00,481,Thunderbird
2016-07-01 0:00,491,Thunderbird
2016-07-02 0:00,481,Thunderbird
2016-07-03 0:00,513,Thunderbird
2016-07-04 0:00,836,Thunderbird
2016-07-05 0:00,687,Thunderbird
2016-07-06 0:00,562,Thunderbird
2016-07-07 0:00,1864,Thunderbird
2016-07-08 0:00,484,Thunderbird
2016-07-09 0:00,106,Thunderbird
2016-07-10 0:00,112,Thunderbird
2016-07-11 0:00,745,Thunderbird
2016-07-12 0:00,625,Thunderbird
2016-07-13 0:00,485,Thunderbird
2016-07-14 0:00,1013,Thunderbird
2016-07-15 0:00,496,Thunderbird
2016-07-16 0:00,102,Thunderbird
2016-07-17 0:00,134,Thunderbird
2016-07-18 0:00,713,Thunderbird
2016-07-19 0:00,819,Thunderbird
2016-07-20 0:00,493,Thunderbird
2016-07-21 0:00,702,Thunderbird
2016-07-22 0:00,533,Thunderbird
2016-07-23 0:00,154,Thunderbird
2016-07-24 0:00,135,Thunderbird
2016-07-25 0:00,727,Thunderbird
2016-07-26 0:00,617,Thunderbird
2016-07-27 0:00,438,Thunderbird
2016-07-28 0:00,511,Thunderbird
2016-07-29 0:00,546,Thunderbird
2016-07-30 0:00,157,Thunderbird
2016-07-31 0:00,118,Thunderbird
2016-08-01 0:00,166,Thunderbird
2016-08-02 0:00,702,Thunderbird
2016-08-03 0:00,839,Thunderbird
2016-08-04 0:00,489,Thunderbird
2016-08-05 0:00,465,Thunderbird
2016-08-06 0:00,175,Thunderbird
2016-08-07 0:00,182,Thunderbird
2016-08-08 0:00,775,Thunderbird
2016-08-09 0:00,580,Thunderbird
2016-08-10 0:00,824,Thunderbird
2016-08-11 0:00,666,Thunderbird
2016-08-12 0:00,651,Thunderbird
2016-08-13 0:00,99,Thunderbird
2016-08-14 0:00,135,Thunderbird
2016-08-15 0:00,756,Thunderbird
2016-08-16 0:00,1010,Thunderbird
2016-08-17 0:00,639,Thunderbird
2016-08-18 0:00,647,Thunderbird
2016-08-19 0:00,523,Thunderbird
2016-08-20 0:00,134,Thunderbird
2016-08-21 0:00,104,Thunderbird
2016-08-22 0:00,529,Thunderbird
2016-08-23 0:00,656,Thunderbird
2016-08-24 0:00,633,Thunderbird
2016-08-25 0:00,625,Thunderbird
2016-08-26 0:00,672,Thunderbird
2016-08-27 0:00,1404,Thunderbird
2016-08-28 0:00,330,Thunderbird
2016-08-29 0:00,883,Thunderbird
2016-08-30 0:00,888,Thunderbird
2016-08-31 0:00,866,Thunderbird
2016-09-01 0:00,1032,Thunderbird
2016-09-02 0:00,801,Thunderbird
2016-09-03 0:00,1578,Thunderbird
2016-09-04 0:00,211,Thunderbird
2016-09-05 0:00,246,Thunderbird
2016-09-06 0:00,1645,Thunderbird
2016-09-07 0:00,1992,Thunderbird
2016-09-08 0:00,1520,Thunderbird
2016-09-09 0:00,1057,Thunderbird
2016-09-10 0:00,315,Thunderbird
2016-09-11 0:00,289,Thunderbird
2016-09-12 0:00,1216,Thunderbird
2016-09-13 0:00,2022,Thunderbird
2016-09-14 0:00,1319,Thunderbird
2016-09-15 0:00,1496,Thunderbird
2016-09-16 0:00,1175,Thunderbird
